"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","abind","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"antiword","antiword","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.1",NA,NA,"sys (>= 2.0)",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"anytime","anytime","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.3.9",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.9)","Rcpp (>= 0.12.9), BH","tinytest (>= 1.0.0), gettz",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"aplpack","aplpack","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.3.5",NA,"R (>= 3.0.0)",NA,NA,"tkrplot, jpeg, png, splines, utils, tcltk",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"arm","arm","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.13-1",NA,"R (>= 3.1.0), MASS, Matrix (>= 1.0), stats, lme4 (>= 1.0)","abind, coda, graphics, grDevices, methods, nlme, utils",NA,NA,NA,"GPL (> 2)",NA,NA,NA,NA,"no","4.2.3"
"arrow","arrow","C:/Users/Carolina/AppData/Local/R/win-library/4.2","11.0.0.3",NA,"R (>= 3.4)","assertthat, bit64 (>= 0.9-7), glue, methods, purrr, R6, rlang
(>= 1.0.0), stats, tidyselect (>= 1.0.0), utils, vctrs","cpp11 (>= 0.4.2)","blob, cli, DBI, dbplyr, decor, distro, dplyr, duckdb (>=
0.2.8), hms, knitr, lubridate, pillar, pkgload, reticulate,
rmarkdown, stringi, stringr, sys, testthat (>= 3.1.0), tibble,
tzdb, withr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.2.3"
"ash","ash","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.0-15",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"askpass","askpass","C:/Users/Carolina/AppData/Local/R/win-library/4.2","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"assertive.base","assertive.base","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.0-9",NA,"R (>= 3.5.0)","methods, utils",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"assertive.properties","assertive.properties","C:/Users/Carolina/AppData/Local/R/win-library/4.2","0.0-5",NA,"R (>= 3.0.0)","assertive.base (>= 0.0-7), methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
